Order_ID,Customer_ID,Customer_Name,Email,Phone,Movie_Title,Theatre,City,Show_Date,Show_Time,Booking_Date,Seat_Type,Quantity,Price,Discount,Total_Amount,Payment_Mode,Payment_Status,Booking_Channel,Seat_Numbers,Feedback_Score,Remarks,Sales_Agent,Is_Refunded,Booking_ID,Screen,Ticket_Type,Promo_Code,Loyalty_Points
ORD103057,CUST60658,John Doe,john630@example.com,+918220598141,Ocean's Whisper,Cinepolis Plaza,,2022-05-30,22:45,2022-05-01,Balcony,2.0,874.37,5.0,1671.3,Cash,Failed,online,"A8,B3",2.0,VIP guest,,False,BKG85139,Screen 3,Family,NEW50,0.0
ORD100408,CUST23167,,user180@example.com,+917631539419,,PVR Phoenix,Hyderabad,2021-07-09,13:15,2021-07-02,Reguler,0.0,289.89,5.0,,UPI,,online,,1.0,,Agent B,False,BKG14304,,Single,,100.0
ORD101125,CUST93301,,user304@example.com,12345,Space Riders,,Hyderabad,2025-05-27,12:30,2025-05-13,premium ,0.0,1304.6,50.0,2085.77,UPI,,Box Office,,1.0,Cancelled,Agent C,False,BKG33892,,Single,FREESNACK,50.0
ORD104148,CUST92060,,user115@example.com,,House of Tricks,,Chennai,2019-06-13,14:30,2019-05-28,Reguler,1.0,1089.87,5.0,1045.38,Online,Pending,online,B4,2.0,,Agent A,False,BKG71656,Screen 1,Family,NEW50,0.0
ORD102250,CUST49550,Priya Singh,priya918@example.com,98765 43210,Ocean's Whisper,,Ahmedabad,2019-12-05,15:00,2019-11-21,premium ,4.0,1097.85,15.0,3712.68,card,Failed,Third-Party,"A22,A23,C21,C14",2.0,,,true,BKG46570,Screen 2,Single,,100.0
ORD106928,CUST3992,,user552@example.com,+917776731735,Ocean's Whisper,Regal Cinema,,2025-06-13,22:15,2025-05-24,premium ,1.0,823.62,,803.62,Cahs,,,B29,1.0,Cancelled,Agent B,True,BKG96329,Screen 1,Combo,save10,200.0
ORD102963,CUST8924,John Doe,john418@example.com,,,Grand Theatre,,2022-06-16,16:30,2022-05-29,Reguler,4.0,495.35,,1981.41,UPI,Paid,Box Office,"B9,C9,A26,B28",1.0,,Agent C,False,BKG83074,,Family,save10,100.0
ORD109243,CUST11870,Sangeetha K,sangeetha928@example.com,98765 43210,Hidden Truths,PVR Phoenix,,2024-02-15,23:00,2024-02-12,,-1.0,1430.89,-5.0,,UPI,,online,,6.0,,Agent C,true,BKG76227,Screen 2,Combo,,10.0
ORD100260,CUST60338,John Doe,john330@example.com,12345,The Last Frontier,,Bengaluru,2019-01-09,18:45,2019-01-09,Balcony,2.0,1258.75,-5.0,2653.38,card,Paid,,"C3,C1",-1.0,,Agent C,False,BKG56919,,Combo,NEW50,
ORD104774,CUST11633,Sangeetha K,sangeetha53@example.com,+918330795201,Broken Strings,Regal Cinema,Delhi,2019-07-09,12:15,2019-06-09,Reguler,0.0,1262.63,50.0,,UPI,,Box Office,,,VIP guest,Agent B,False,BKG42987,Screen 3,,,50.0
ORD104497,CUST8055,,user786@example.com,+916046425338,,PVR Phoenix,Delhi,2022-09-13,12:00,2022-08-19,Balcony,,239.67,15.0,,Card,Pending,third party,,3.0,,Agent B,true,BKG23015,,Combo,,200.0
ORD105720,CUST73864,Ravi Kumar,ravi505@example.com,12345,Hidden Truths,Inox Mall,Pune,2021-04-04,16:00,2021-03-15,premium ,,,50.0,2467.52,UPI,,third party,,,Cancelled,Agent C,True,BKG50554,Screen 1,Combo,NEW50,100.0
ORD103851,CUST15918,Sangeetha K,sangeetha642@example.com,98765 43210,Love & Pixels,Grand Theatre,,2021-04-13,18:45,2021-03-19,Regular,4.0,952.31,-5.0,4009.72,card,Pending,,"C26,A28,B12,B24",6.0,,Agent A,true,BKG20540,Screen 1,Family,save10,100.0
ORD102028,CUST95112,Sangeetha K,sangeetha755@example.com,,Final Alarm,Cinepolis Plaza,Bengaluru,2023-03-09,12:00,2023-03-03,VIP,0.0,1426.29,5.0,,,,,,5.0,VIP guest,Agent C,True,BKG57007,Screen 3,Family,FREESNACK,200.0
ORD105318,CUST47834,John Doe,john125@example.com,,Final Alarm,Inox Mall,Bengaluru,2025-10-30,11:15,2025-10-01,,4.0,1095.82,-5.0,4602.46,Cash,Failed,Third-Party,"A28,C28,B17,B1",2.0,,Agent C,,BKG83199,Screen 1,Combo,NEW50,
ORD100130,CUST55099,Ravi Kumar,ravi767@example.com,12345,Final Alarm,,Chennai,2021-04-02,12:30,2021-03-12,Balcony,2.0,1165.41,10.0,2077.74,card,Failed,,"A25,B18",-1.0,,,true,BKG65363,Screen 1,Single,NEW50,50.0
ORD104525,CUST94427,John Doe,john73example.com,,Final Alarm,Inox Mall,Bengaluru,2020-08-29,21:45,2020-08-23,premium ,4.0,275.33,15.0,916.14,,,online,"B4,A25,A12,A13",6.0,,Agent C,,BKG42619,Screen 3,Family,,0.0
ORD101141,CUST26085,,user117@example.com,+916109248546,Love & Pixels,Inox Mall,Mumbai,2024-10-20,14:15,2024-10-14,premium ,0.0,645.34,10.0,,Cash,Failed,Box Office,,5.0,,Agent B,False,BKG43003,,Combo,save10,50.0
ORD106105,CUST2703,Sangeetha K,sangeetha363@example.com,12345,Midnight Sonata,PVR Phoenix,,2022-12-21,9:45,2022-12-08,,1.0,449.12,,459.12,UPI,Pending,,B10,2.0,,Agent A,False,BKG39600,Screen 2,,FREESNACK,0.0
ORD108483,CUST19364,John Doe,john44@example.com,,The Silent Echo,,Delhi,2022-12-14,22:00,2022-11-23,Balcony,3.0,948.74,-5.0,2988.54,Card,Pending,online,"B16,B27,B21",-1.0,,Agent B,False,BKG39669,Screen 1,Single,,100.0
ORD102438,CUST13573,Sangeetha K,sangeetha815@example.com,,Final Alarm,,Hyderabad,2019-09-07,22:45,2019-08-09,Balcony,2.0,1032.68,-5.0,2168.64,card,,Third-Party,"C30,B3",1.0,Late arrival,Agent A,,BKG44100,Screen 1,Combo,FREESNACK,0.0
ORD101545,CUST84627,,user140@example.com,,,PVR Phoenix,Bengaluru,2022-09-25,22:15,2022-09-04,,0.0,1318.71,25.0,,Card,Paid,,,1.0,VIP guest,Agent C,False,BKG49751,Screen 1,Combo,save10,200.0
ORD102168,CUST72614,Amit Sharma,amit266@example.com,+916742609622,,Grand Theatre,Chennai,2020-02-05,21:00,2020-01-25,premium ,4.0,605.1,,2400.39,Cahs,Failed,online,"A18,B28,A13,B24",-1.0,,Agent C,True,BKG82307,,Family,NEW50,
ORD109110,CUST63257,John Doe,,,Broken Strings,Inox Mall,Delhi,2024-03-23,13:45,2024-03-21,,4.0,328.3,,1323.21,,Pending,third party,"C21,A3,C10,B20",1.0,Cancelled,,False,BKG77472,,,FREESNACK,50.0
ORD100574,CUST80443,Ravi Kumar,ravi655@example.com,98765 43210,Broken Strings,Grand Theatre,Ahmedabad,2020-05-07,22:45,2020-04-25,Balcony,3.0,969.06,,2917.18,Card,Pending,Box Office,"B10,A16,B19",5.0,Late arrival,Agent B,False,BKG67264,Screen 2,Combo,,100.0
ORD107466,CUST66563,Priya Singh,priya403@example.com,12345,The Last Frontier,,Bengaluru,2020-01-28,15:30,2020-01-01,Reguler,4.0,722.73,25.0,2168.19,UPI,Failed,online,"C21,C13,C18,B24",1.0,,,True,BKG42830,Screen 3,Combo,,0.0
ORD101820,CUST78171,Amit Sharma,amit9@example.com,98765 43210,,Grand Theatre,Bengaluru,2020-03-22,14:00,2020-03-04,,4.0,1271.27,25.0,3823.81,Cash,,,"B10,B13,A17,C30",5.0,Cancelled,Agent A,,BKG93265,Screen 2,Combo,save10,10.0
ORD106886,CUST69265,Ravi Kumar,,+916944571372,The Silent Echo,Cinepolis Plaza,Mumbai,2022-07-15,19:15,2022-06-21,premium ,4.0,637.28,5.0,2401.66,Cahs,,third party,"B16,A27,B24,A25",6.0,,Agent A,true,BKG46244,Screen 3,,,
ORD105795,CUST33016,,user18@example.com,+918799440699,Hidden Truths,Grand Theatre,Mumbai,2025-01-01,18:45,2024-12-02,Premium,4.0,1113.22,25.0,3339.67,Cash,Failed,,"B20,C4,A5,A9",4.0,,Agent B,True,BKG35181,Screen 3,,NEW50,
ORD104512,CUST91940,Ravi Kumar,ravi30@example.com,98765 43210,Love & Pixels,Inox Mall,Ahmedabad,2019-09-18,10:15,2019-08-24,VIP,2.0,1407.16,50.0,1387.16,Online,Pending,Third-Party,"C12,B26",4.0,,Agent B,,BKG72021,Screen 3,Family,,
ORD108755,CUST94845,,user2@example.com,+917761425037,The Silent Echo,Grand Theatre,Ahmedabad,2024-04-09,11:15,2024-03-28,Balcony,3.0,1272.77,15.0,3225.57,Online,Pending,Box Office,"B3,C16,C8",5.0,Cancelled,Agent B,True,BKG79590,,,NEW50,
ORD109068,CUST86635,John Doe,john524@example.com,+917156874542,,Cinepolis Plaza,Bengaluru,2025-10-17,12:30,2025-10-14,VIP,2.0,721.13,10.0,1278.04,,Failed,third party,"C1,C3",6.0,VIP guest,Agent B,true,BKG27418,,,NEW50,50.0
ORD106438,CUST96858,Amit Sharma,amit459@example.com,+917819177263,Space Riders,PVR Phoenix,Hyderabad,2021-12-03,15:30,2021-11-03,,1.0,1369.65,10.0,1232.69,Card,Paid,Online,B1,-1.0,VIP guest,Agent C,True,BKG29497,Screen 3,Combo,,
ORD101410,CUST23672,,user723@example.com,,Love & Pixels,Inox Mall,Pune,2024-11-24,17:45,2024-11-24,Regular,3.0,395.51,50.0,603.26,card,Paid,Box Office,"C24,B7,C3",5.0,Late arrival,Agent A,False,BKG60816,Screen 2,Family,save10,100.0
ORD107056,CUST91503,Priya Singh,priya961@example.com,98765 43210,Midnight Sonata,Inox Mall,Hyderabad,2023-03-09,18:15,2023-02-17,premium ,1.0,493.45,5.0,448.77,card,,third party,A27,1.0,,Agent A,True,BKG12973,Screen 3,,,100.0
ORD104738,CUST13358,Amit Sharma,amit325@example.com,+917912089225,Hidden Truths,Cinepolis Plaza,Ahmedabad,2024-08-11,17:00,2024-07-30,,1.0,,10.0,,Card,Paid,online,A14,1.0,Late arrival,Agent B,true,BKG10398,Screen 2,Combo,NEW50,50.0
ORD101308,CUST43719,Ravi Kumar,ravi754@example.com,98765 43210,The Silent Echo,,Mumbai,2024-04-27,17:00,2024-04-04,premium ,2.0,1286.54,15.0,2167.11,card,Failed,online,"B9,C14",2.0,Late arrival,,True,BKG93756,Screen 2,,FREESNACK,
ORD109041,CUST61952,Priya Singh,priya871@example.com,98765 43210,The Last Frontier,Regal Cinema,Kolkata,2021-06-29,20:15,2021-06-24,VIP,-1.0,500.24,25.0,,card,,Box Office,,6.0,,Agent C,False,BKG86581,Screen 3,Single,save10,
ORD109151,CUST74570,Amit Sharma,amit750@example.com,+917054136180,Ocean's Whisper,Inox Mall,Hyderabad,2023-11-29,9:30,2023-11-15,Premium,,728.6,50.0,,Cash,Paid,,,3.0,Cancelled,,False,BKG35535,Screen 2,,FREESNACK,0.0
ORD100988,CUST58133,Sangeetha K,sangeetha476example.com,12345,House of Tricks,,Hyderabad,2025-03-12,9:00,2025-03-02,Regular,4.0,1116.07,25.0,3348.22,card,,,"A17,A19,A10,A4",,,Agent C,True,BKG63470,,Single,FREESNACK,
ORD100218,CUST61357,Amit Sharma,amit135@example.com,12345,House of Tricks,,Hyderabad,2020-07-23,22:45,2020-06-25,Reguler,0.0,1185.2,10.0,,Card,Paid,Box Office,,3.0,Late arrival,Agent B,,BKG27067,Screen 1,,NEW50,
ORD100625,CUST21632,Sangeetha K,sangeetha309@example.com,12345,Midnight Sonata,,Mumbai,2024-01-29,18:45,2024-01-22,premium ,2.0,206.78,0.0,413.57,card,Paid,online,"C27,B30",3.0,Late arrival,Agent A,True,BKG81956,,Single,,10.0
ORD102311,CUST30231,Priya Singh,priya860@example.com,,Broken Strings,PVR Phoenix,,2025-05-16,22:30,2025-05-10,Premium,3.0,281.53,5.0,812.35,Card,Paid,Box Office,"C11,C18,A22",3.0,,Agent C,,BKG55889,Screen 2,Family,FREESNACK,
ORD109447,CUST82742,Ravi Kumar,ravi492@example.com,12345,Space Riders,,Kolkata,2023-03-06,9:45,2023-02-20,VIP,3.0,343.72,5.0,979.6,card,Paid,online,"C4,C3,B30",2.0,Late arrival,Agent C,,BKG16956,,Single,,0.0
ORD104967,CUST54167,,user382@example.com,,Broken Strings,Grand Theatre,Hyderabad,2024-01-15,19:00,2023-12-24,Regular,1.0,260.25,,260.25,UPI,Paid,Online,C24,6.0,VIP guest,,True,BKG54976,Screen 1,Family,,10.0
ORD100712,CUST6978,,user613@example.com,,The Last Frontier,Inox Mall,Kolkata,2022-04-13,15:30,2022-03-20,,4.0,521.29,10.0,1876.63,UPI,Paid,online,"A1,B7,A27,C15",2.0,VIP guest,,,BKG73004,Screen 2,,NEW50,0.0
ORD105877,CUST11744,Priya Singh,priya39@example.com,,Hidden Truths,Grand Theatre,Pune,2024-09-27,9:45,2024-09-15,Balcony,4.0,390.05,5.0,1462.21,Cahs,Failed,Box Office,"C1,A24,C11,B27",4.0,VIP guest,Agent C,true,BKG55314,,,FREESNACK,100.0
ORD108634,CUST5485,John Doe,john402@example.com,+919644671859,Midnight Sonata,PVR Phoenix,Ahmedabad,2025-06-13,18:00,2025-06-08,,-1.0,336.26,5.0,,,Failed,,,5.0,Late arrival,Agent C,,BKG93458,Screen 1,Family,save10,
ORD105282,CUST86851,Amit Sharma,amit216@example.com,+917609224632,House of Tricks,PVR Phoenix,Chennai,2019-02-24,20:45,2019-02-09,Balcony,,-50.0,-5.0,,UPI,Pending,,,3.0,Late arrival,Agent A,,BKG97218,Screen 2,,NEW50,100.0
ORD101576,CUST34415,,user170@example.com,,Love & Pixels,PVR Phoenix,Hyderabad,2023-12-30,17:45,2023-12-24,Reguler,1.0,1327.25,,1327.25,,,Box Office,A24,-1.0,Late arrival,,False,BKG40742,,Combo,NEW50,10.0
ORD109579,CUST56724,Priya Singh,priya854@example.com,98765 43210,Ocean's Whisper,,Pune,2023-03-15,22:00,2023-02-13,Premium,3.0,1090.6,50.0,1615.9,,,Online,"A1,B22,C25",-1.0,,Agent C,,BKG70635,,,,200.0
ORD106635,CUST23166,Amit Sharma,amit814@example.com,12345,Ocean's Whisper,Cinepolis Plaza,Delhi,2021-07-23,10:45,2021-07-10,Regular,2.0,846.43,50.0,856.43,UPI,Failed,,"B12,B25",4.0,VIP guest,Agent C,True,BKG28985,Screen 3,Combo,FREESNACK,
ORD109979,CUST98438,Amit Sharma,amit32example.com,12345,Final Alarm,Regal Cinema,Mumbai,2023-07-22,11:15,2023-07-02,Balcony,0.0,-50.0,,,Online,,third party,,4.0,,Agent B,,BKG54357,Screen 3,,,0.0
ORD105232,CUST23303,,user349@example.com,12345,House of Tricks,Inox Mall,Pune,2019-08-14,11:00,2019-07-22,,0.0,1167.03,10.0,,Card,Failed,Third-Party,,5.0,,,False,BKG54325,Screen 2,,NEW50,50.0
ORD103907,CUST24928,John Doe,john276@example.com,12345,Broken Strings,Grand Theatre,,2020-11-28,17:45,2020-10-29,Balcony,0.0,291.67,50.0,,Cahs,,Third-Party,,3.0,,Agent A,True,BKG81803,Screen 1,Combo,save10,0.0
ORD101990,CUST96657,,user949@example.com,12345,Ocean's Whisper,,Delhi,2020-06-29,17:00,2020-05-31,,3.0,1236.76,10.0,3339.25,Card,Paid,,"C25,B7,A13",2.0,VIP guest,,False,BKG82557,Screen 3,,NEW50,0.0
ORD102038,CUST23848,Ravi Kumar,ravi254@example.com,12345,Love & Pixels,PVR Phoenix,Bengaluru,2024-02-01,10:00,2024-01-21,Reguler,1.0,1205.1,-5.0,1245.35,card,,,A23,,Cancelled,Agent B,False,BKG38433,Screen 1,Family,save10,100.0
ORD101915,CUST60249,Amit Sharma,amit764@example.com,12345,Space Riders,PVR Phoenix,Bengaluru,2020-02-11,21:00,2020-02-10,Reguler,4.0,592.9,-5.0,2500.16,Cash,Paid,Online,"A17,B18,B11,B6",,VIP guest,,true,BKG28637,Screen 2,Combo,NEW50,200.0
ORD105238,CUST90671,Ravi Kumar,ravi393@example.com,98765 43210,Broken Strings,Regal Cinema,Mumbai,2024-09-10,14:15,2024-08-28,VIP,,450.9,15.0,,Online,Pending,online,,2.0,,Agent A,,BKG26114,Screen 3,Combo,save10,50.0
ORD103832,CUST63625,Ravi Kumar,ravi187@example.com,,Ocean's Whisper,,Ahmedabad,2024-06-30,21:00,2024-06-16,VIP,1.0,455.63,,435.63,Card,,Third-Party,A25,6.0,Late arrival,Agent C,,BKG50307,Screen 3,Combo,,
ORD105581,CUST87794,Priya Singh,priya541@example.com,12345,Midnight Sonata,Grand Theatre,Pune,2022-01-09,23:00,2022-01-08,VIP,1.0,480.52,5.0,456.49,UPI,Paid,Online,C30,3.0,VIP guest,,true,BKG87545,,Family,save10,200.0
ORD101668,CUST89263,John Doe,john956@example.com,98765 43210,Space Riders,Grand Theatre,Bengaluru,2022-08-28,13:45,2022-08-18,,-1.0,1210.51,25.0,,Cash,Paid,online,,2.0,VIP guest,Agent C,,BKG17019,Screen 2,,,0.0
ORD104673,CUST54253,,user520@example.com,,House of Tricks,,Chennai,2022-01-24,18:30,2021-12-28,Regular,3.0,1085.05,10.0,2929.65,Online,,Online,"C26,A27,C19",3.0,Cancelled,Agent B,True,BKG16705,Screen 3,,,
ORD104388,CUST38470,John Doe,john133@example.com,,The Silent Echo,Grand Theatre,Mumbai,2021-01-13,18:00,2021-01-07,Balcony,2.0,641.88,,1263.76,Cahs,Failed,online,"B18,B20",-1.0,,Agent C,,BKG42056,Screen 3,Combo,,100.0
ORD104523,CUST59888,Sangeetha K,,+917022473959,The Last Frontier,PVR Phoenix,Chennai,2021-11-03,23:15,2021-10-08,Reguler,-1.0,231.53,,,Cash,Pending,third party,,3.0,VIP guest,Agent C,False,BKG39870,,,NEW50,200.0
ORD108573,CUST23822,Priya Singh,priya451@example.com,98765 43210,The Last Frontier,Cinepolis Plaza,Delhi,2024-06-22,13:00,2024-05-29,,-1.0,691.25,10.0,,card,Failed,Box Office,,3.0,Late arrival,Agent A,False,BKG38744,,Family,FREESNACK,
ORD108756,CUST4512,Ravi Kumar,ravi125@example.com,98765 43210,The Last Frontier,Regal Cinema,Delhi,2019-09-24,11:15,2019-08-26,Regular,4.0,870.03,10.0,3142.1,,Failed,Box Office,"C10,C23,C30,A28",5.0,Late arrival,Agent A,False,BKG65874,,Combo,save10,100.0
ORD106896,CUST67784,Amit Sharma,amit703example.com,12345,Love & Pixels,Regal Cinema,Ahmedabad,2022-10-09,10:00,2022-10-03,,2.0,615.28,5.0,1169.03,UPI,Pending,online,"A5,C18",4.0,Cancelled,Agent A,,BKG79279,Screen 3,Family,save10,100.0
ORD108040,CUST75163,,user765@example.com,,Love & Pixels,Inox Mall,Mumbai,2025-01-04,23:00,2024-12-10,,-1.0,980.38,15.0,2235.77,Cahs,Failed,,,1.0,VIP guest,Agent B,False,BKG73741,Screen 2,,save10,0.0
ORD101731,CUST13611,Ravi Kumar,ravi273@example.com,+916652683292,Midnight Sonata,Cinepolis Plaza,Bengaluru,2019-12-05,20:45,2019-11-10,Reguler,1.0,-50.0,10.0,-35.0,Online,Failed,online,A30,5.0,Late arrival,Agent C,False,BKG23200,Screen 1,Single,FREESNACK,50.0
ORD105553,CUST34485,Sangeetha K,sangeetha848@example.com,,Hidden Truths,Regal Cinema,Delhi,2020-04-10,10:15,2020-03-29,,0.0,593.72,15.0,,,Paid,Box Office,,-1.0,,,,BKG56995,Screen 2,Family,,200.0
ORD105488,CUST59351,John Doe,john373@example.com,12345,House of Tricks,Grand Theatre,Kolkata,2019-02-06,10:45,2019-01-23,Premium,2.0,125.68,10.0,226.22,card,Paid,Online,"B5,B20",,,Agent B,,BKG78584,,Family,save10,0.0
ORD108979,CUST42541,John Doe,john285@example.com,,Broken Strings,PVR Phoenix,Kolkata,2024-09-12,18:00,2024-09-12,premium ,1.0,566.92,15.0,491.88,,Paid,Online,A20,4.0,,,False,BKG75351,Screen 3,Combo,NEW50,
ORD106467,CUST14068,John Doe,john16@example.com,,Space Riders,PVR Phoenix,Mumbai,2019-07-01,21:00,2019-06-26,Reguler,-1.0,1014.91,0.0,1962.71,Cahs,Failed,Box Office,,3.0,,Agent B,True,BKG29265,Screen 3,Combo,FREESNACK,200.0
ORD104429,CUST52008,Ravi Kumar,ravi731@example.com,+919983223367,The Silent Echo,Grand Theatre,Pune,2022-08-09,13:45,2022-07-17,Regular,-1.0,959.57,,,Cash,,Online,,4.0,,Agent C,true,BKG98648,Screen 3,Single,NEW50,10.0
ORD106116,CUST45150,Ravi Kumar,ravi751@example.com,,Space Riders,,Hyderabad,2024-07-28,23:45,2024-07-19,,4.0,184.97,25.0,554.91,Online,Failed,third party,"C5,A28,C20,B25",1.0,VIP guest,Agent A,True,BKG59250,Screen 3,Single,save10,10.0
ORD103431,CUST48826,Priya Singh,priya354@example.com,98765 43210,Space Riders,Regal Cinema,Mumbai,2024-08-13,16:15,2024-08-03,VIP,4.0,243.83,10.0,877.78,Cash,Paid,third party,"C13,A11,C30,C6",,,,True,BKG36287,Screen 3,,,0.0
ORD107934,CUST55832,John Doe,john661@example.com,,Hidden Truths,Inox Mall,Chennai,2023-03-26,23:45,2023-03-20,,0.0,1216.36,0.0,,Cahs,,Box Office,,1.0,Late arrival,Agent B,False,BKG25287,,Combo,save10,100.0
ORD102619,CUST43655,Ravi Kumar,ravi399@example.com,+917674823413,House of Tricks,,Ahmedabad,2025-06-29,22:45,2025-06-08,Reguler,,444.06,,,card,Paid,Box Office,,4.0,VIP guest,Agent B,true,BKG46528,Screen 1,Single,,200.0
ORD100676,CUST71303,Amit Sharma,amit592@example.com,+918111767152,House of Tricks,Cinepolis Plaza,Mumbai,2019-04-03,20:15,2019-03-08,premium ,,640.05,50.0,,card,,online,,4.0,Late arrival,Agent C,True,BKG96113,Screen 3,Single,save10,200.0
ORD101233,CUST7622,Priya Singh,priya210@example.com,98765 43210,Midnight Sonata,PVR Phoenix,,2020-07-08,12:15,2020-07-02,Regular,2.0,1496.18,5.0,2852.74,Cahs,Failed,Third-Party,"C26,A15",1.0,Late arrival,,,BKG28168,,Single,save10,50.0
ORD101988,CUST24862,Sangeetha K,sangeetha727example.com,+919667353473,The Silent Echo,PVR Phoenix,,2025-06-28,11:15,2025-06-09,Regular,,1102.25,10.0,3188.71,Cash,Pending,online,,1.0,VIP guest,Agent C,True,BKG77405,,Single,save10,0.0
ORD106708,CUST24919,Ravi Kumar,ravi896@example.com,+916612667070,Hidden Truths,Regal Cinema,,2021-06-06,19:15,2021-05-27,,4.0,734.66,0.0,2938.64,card,Pending,third party,"B22,A24,B17,A9",-1.0,VIP guest,,,BKG56641,Screen 3,Family,save10,
ORD105570,CUST2014,Priya Singh,priya891@example.com,98765 43210,Final Alarm,Grand Theatre,Pune,2021-10-21,14:45,2021-09-28,Reguler,0.0,545.53,5.0,-20.24,Card,Failed,,,3.0,VIP guest,Agent B,False,BKG77646,Screen 1,,FREESNACK,100.0
ORD107944,CUST18374,Priya Singh,priya666@example.com,+919881353372,The Silent Echo,Grand Theatre,Pune,2025-04-21,13:00,2025-04-07,Balcony,-1.0,550.49,50.0,1326.79,Cash,,online,,4.0,VIP guest,Agent C,False,BKG32356,Screen 1,Family,save10,100.0
ORD103913,CUST85762,Priya Singh,priya177@example.com,98765 43210,Final Alarm,Grand Theatre,Hyderabad,2024-12-30,14:15,2024-12-22,VIP,0.0,1195.34,25.0,4222.1,Cash,Failed,Box Office,,6.0,Cancelled,Agent C,True,BKG70760,Screen 3,Single,NEW50,100.0
ORD106741,CUST62897,,,98765 43210,Space Riders,Cinepolis Plaza,Chennai,2023-01-19,14:00,2022-12-22,,,1036.49,,,,Pending,third party,,3.0,Late arrival,Agent C,True,BKG46406,Screen 2,Combo,,10.0
ORD102293,CUST21665,,user453@example.com,12345,Midnight Sonata,Cinepolis Plaza,Delhi,2022-03-20,14:30,2022-02-25,Premium,4.0,0.0,50.0,10.0,Cash,Failed,Third-Party,"B18,C11,C19,A24",1.0,Late arrival,Agent C,False,BKG43036,Screen 3,Family,,0.0
ORD105551,CUST47648,,user69@example.com,+918571139978,The Silent Echo,,Delhi,2020-01-30,14:00,2020-01-28,Reguler,0.0,0.0,-5.0,,Online,Failed,third party,,,VIP guest,,true,BKG31751,Screen 2,,NEW50,100.0
ORD108668,CUST52663,,user243@example.com,,Broken Strings,,Hyderabad,2020-12-09,10:15,2020-11-10,Premium,3.0,416.17,,1248.5,,,Online,"A22,C30,C13",3.0,Late arrival,,False,BKG49808,Screen 1,Family,FREESNACK,
